Name,NCBI_Accession,Species
GRCg6a,GCF_000002315.6,chicken
ARS-UCD1.2,GCF_002263795.1,taurine cattle
ARS-UCD1.3,GCF_002263795.2,taurine cattle
Sscrofa11.1,GCF_000003025.6,pig
CanFam3.1,GCF_000002285.3,dog
Dog10K_Boxer_Tasha,GCF_000002285.5,dog
EquCab3.0,GCF_002863925.1,horse
Felis_catus_9.0,GCF_000181335.3,domestic cat
Oar_rambouillet_v1.0,GCF_002742125.1,sheep
ROS_Cfam_1.0,GCF_014441545.1,dog
UU_Cfam_GSD_1.0,GCF_011100685.1,dog
Oar_v3.1,GCF_000298735.1,sheep
F.catus_Fca126_mat1.0,GCF_018350175.1,domestic cat
UMD_3.1.1,GCF_000003055.6,taurine cattle
ARS-UI_Ramb_v3.0,GCF_016772045.2,sheep
ARS1.2,GCF_001704415.2,goat
Oar_v4.0,GCF_000298735.2,sheep
Felis_catus 9.0,GCF_000181335.3,domestic cat
OryCun2.0,GCF_000003625.3,rabbit
EquCab3,GCF_002863925.1,horse
Oar_Rambouillet_v1.0,GCF_002742125.1,sheep

